字,代表音訓
吉,キチ
吃,キツ
喫,キツ
桔,キツ
橘,キツ
詰,キツ
砧,きぬた
杵,きね
黍,きび
却,キャク
客,キャク
脚,キャク
虐,ギャク
逆,ギャク
丘,キュウ
久,キュウ
仇,キュウ
休,キュウ
及,キュウ
吸,キュウ
宮,キュウ
弓,キュウ
急,キュウ
救,キュウ
朽,キュウ
求,キュウ
汲,キュウ
泣,キュウ
灸,キュウ
球,キュウ
究,キュウ
窮,キュウ
笈,キュウ
級,キュウ
糾,キュウ
給,キュウ
旧,キュウ
牛,ギュウ
去,キョ
居,キョ
巨,キョ
拒,キョ
拠,キョ
挙,キョ
渠,キョ
虚,キョ
許,キョ
距,キョ
鋸,キョ
漁,ギョ
禦,ギョ
魚,ギョ
亨,キョウ
享,キョウ
京,キョウ
供,キョウ
侠,キョウ
僑,キョウ
兇,キョウ
競,キョウ
共,キョウ
凶,キョウ
協,キョウ
匡,キョウ
卿,キョウ
叫,キョウ
喬,キョウ
境,キョウ
峡,キョウ
強,キョウ
彊,キョウ
怯,キョウ
恐,キョウ
恭,キョウ
挟,キョウ
教,キョウ
橋,キョウ
況,キョウ
狂,キョウ
狭,キョウ
矯,キョウ
胸,キョウ
脅,キョウ
興,キョウ
蕎,キョウ
郷,キョウ
鏡,キョウ
響,キョウ
饗,キョウ
驚,キョウ
仰,ギョウ
凝,ギョウ
尭,ギョウ
暁,ギョウ
業,ギョウ
局,キョク
曲,キョク
極,キョク
玉,ギョク
桐,きり
粁,きろめーとる
僅,キン
勤,キン
均,キン
巾,キン
錦,キン
斤,キン
欣,キン
欽,キン
琴,キン
禁,キン
禽,キン
筋,キン
緊,キン
芹,キン
菌,キン
衿,キン
襟,キン
謹,キン
近,キン
金,キン
吟,ギン
銀,ギン
九,ク
倶,ク
句,ク
区,ク
狗,ク
玖,ク
矩,ク
苦,ク
躯,ク
駆,ク
駈,ク
駒,ク
具,グ
愚,グ
虞,グ
喰,くい
空,クウ
偶,グウ
寓,グウ
遇,グウ
隅,グウ
串,くし
櫛,くし
釧,くし
屑,くず
屈,クツ
掘,クツ
窟,クツ
沓,くつ
靴,くつ
轡,くつわ
窪,くぼ
熊,くま
隈,くま
粂,くめ
栗,くり
繰,くり
桑,くわ
鍬,くわ
勲,クン
君,クン
薫,クン
訓,クン
群,グン
軍,グン
郡,グン
卦,ケ
袈,ケ
祁,ケ
係,ケイ
傾,ケイ
刑,ケイ
兄,ケイ
啓,ケイ
圭,ケイ
珪,ケイ
型,ケイ
契,ケイ
形,ケイ
径,ケイ
恵,ケイ
慶,ケイ
慧,ケイ
憩,ケイ
掲,ケイ
携,ケイ
敬,ケイ
景,ケイ
桂,ケイ
渓,ケイ
畦,ケイ
稽,ケイ
系,ケイ
経,ケイ
継,ケイ
繋,ケイ
罫,ケイ
茎,ケイ
荊,ケイ
蛍,ケイ
計,ケイ
詣,ケイ
警,ケイ
軽,ケイ
頚,ケイ
鶏,ケイ
芸,ゲイ
迎,ゲイ
鯨,ゲイ
劇,ゲキ
戟,ゲキ
撃,ゲキ
激,ゲキ
隙,ゲキ
桁,けた
傑,ケツ
欠,ケツ
決,ケツ
潔,ケツ
穴,ケツ
結,ケツ
血,ケツ
訣,ケツ
月,ゲツ
件,ケン
倹,ケン
倦,ケン
健,ケン
兼,ケン
券,ケン
剣,ケン
喧,ケン
圏,ケン
堅,ケン
嫌,ケン
建,ケン
憲,ケン
懸,ケン
拳,ケン
捲,ケン
検,ケン
権,ケン
牽,ケン
犬,ケン
献,ケン
研,ケン
硯,ケン
絹,ケン
県,ケン
肩,ケン
見,ケン
謙,ケン
賢,ケン
軒,ケン
遣,ケン
鍵,ケン
険,ケン
顕,ケン
験,ケン
鹸,ケン
元,ゲン
原,ゲン
厳,ゲン
幻,ゲン
弦,ゲン
減,ゲン
源,ゲン
玄,ゲン
現,ゲン
絃,ゲン
舷,ゲン
言,ゲン
諺,ゲン
限,ゲン
乎,コ
個,コ
古,コ
呼,コ
固,コ
姑,コ
孤,コ
己,コ
庫,コ
弧,コ
戸,コ
故,コ
枯,コ
湖,コ
狐,コ
糊,コ
袴,コ
股,コ
胡,コ
菰,コ
虎,コ
誇,コ
跨,コ
鈷,コ
雇,コ
顧,コ
鼓,コ
五,ゴ
互,ゴ
伍,ゴ
午,ゴ
呉,ゴ
吾,ゴ
娯,ゴ
後,ゴ
御,ゴ
悟,ゴ
梧,ゴ
檎,ゴ
瑚,ゴ
碁,ゴ
語,ゴ
誤,ゴ
護,ゴ
醐,ゴ
乞,こい
鯉,こい
交,コウ
佼,コウ
侯,コウ
候,コウ
倖,コウ
光,コウ
公,コウ
功,コウ
効,コウ
勾,コウ
厚,コウ
口,コウ
向,コウ
