字,代表音訓
動,ドウ
同,ドウ
堂,ドウ
導,ドウ
憧,ドウ
撞,ドウ
洞,ドウ
瞳,ドウ
童,ドウ
胴,ドウ
萄,ドウ
道,ドウ
銅,ドウ
峠,とうげ
鴇,とき
匿,トク
得,トク
徳,トク
涜,トク
特,トク
督,トク
禿,トク
篤,トク
毒,ドク
独,ドク
読,ドク
栃,とち
橡,とち
凸,トツ
突,トツ
椴,とど
届,とどけ
鳶,とび
苫,とま
寅,とら
酉,とり
瀞,とろ
噸,とん
屯,トン
惇,トン
敦,トン
沌,トン
豚,トン
遁,トン
頓,トン
呑,ドン
曇,ドン
鈍,ドン
奈,ナ
那,ナ
内,ナイ
乍,ながら
凪,なぎ
薙,なぎ
謎,なぞ
灘,なだ
捺,ナツ
鍋,なべ
楢,なら
馴,なれ
縄,なわ
畷,なわて
南,ナン
楠,ナン
軟,ナン
難,ナン
汝,なんじ
二,ニ
尼,ニ
弐,ニ
迩,ニ
匂,におい
賑,にぎわい
肉,ニク
虹,にじ
廿,にじゅう
日,ニチ
乳,ニュウ
入,ニュウ
如,ニョ
尿,ニョウ
韮,にら
任,ニン
妊,ニン
忍,ニン
認,ニン
濡,ぬれ
禰,ネ
祢,ネ
寧,ネイ
葱,ねぎ
猫,ねこ
熱,ネツ
年,ネン
念,ネン
捻,ネン
撚,ネン
燃,ネン
粘,ネン
乃,ノ
廼,ノ
之,の
埜,の
嚢,ノウ
悩,ノウ
濃,ノウ
納,ノウ
能,ノウ
脳,ノウ
膿,ノウ
農,ノウ
覗,のぞき
蚤,のみ
巴,ハ
把,ハ
播,ハ
覇,ハ
杷,ハ
波,ハ
派,ハ
琶,ハ
破,ハ
婆,バ
罵,バ
芭,バ
馬,バ
俳,ハイ
廃,ハイ
拝,ハイ
排,ハイ
敗,ハイ
杯,ハイ
盃,ハイ
牌,ハイ
背,ハイ
肺,ハイ
輩,ハイ
配,ハイ
倍,バイ
培,バイ
媒,バイ
梅,バイ
楳,バイ
煤,バイ
狽,バイ
買,バイ
売,バイ
賠,バイ
陪,バイ
這,はい
蝿,はえ
秤,はかり
矧,はぎ
萩,はぎ
伯,ハク
剥,ハク
博,ハク
拍,ハク
柏,ハク
泊,ハク
白,ハク
箔,ハク
粕,ハク
舶,ハク
薄,ハク
迫,ハク
曝,バク
漠,バク
爆,バク
縛,バク
莫,バク
駁,バク
麦,バク
函,はこ
箱,はこ
硲,はざま
箸,はし
肇,はじめ
筈,はず
櫨,はぜ
幡,はた
肌,はだ
畑,はたけ
畠,はたけ
八,ハチ
鉢,ハツ
溌,ハツ
発,ハツ
醗,ハツ
髪,ハツ
伐,バツ
罰,バツ
抜,バツ
筏,バツ
閥,バツ
鳩,はと
噺,はなし
塙,はなわ
蛤,はまぐり
隼,はやぶさ
伴,ハン
判,ハン
半,ハン
反,ハン
叛,ハン
帆,ハン
搬,ハン
斑,ハン
板,ハン
氾,ハン
汎,ハン
版,ハン
犯,ハン
班,ハン
畔,ハン
繁,ハン
般,ハン
藩,ハン
販,ハン
範,ハン
釆,ハン
煩,ハン
頒,ハン
飯,ハン
挽,バン
晩,バン
番,バン
盤,バン
磐,バン
蕃,バン
蛮,バン
匪,ヒ
卑,ヒ
否,ヒ
妃,ヒ
庇,ヒ
彼,ヒ
悲,ヒ
扉,ヒ
批,ヒ
披,ヒ
斐,ヒ
比,ヒ
泌,ヒ
疲,ヒ
皮,ヒ
碑,ヒ
秘,ヒ
緋,ヒ
罷,ヒ
肥,ヒ
被,ヒ
誹,ヒ
費,ヒ
避,ヒ
非,ヒ
飛,ヒ
樋,ひ
簸,ひ
備,ビ
尾,ビ
微,ビ
枇,ビ
毘,ビ
琵,ビ
眉,ビ
美,ビ
鼻,ビ
柊,ひいらぎ
稗,ひえ
匹,ひき
疋,ひき
髭,ひげ
彦,ひこ
膝,ひざ
菱,ひし
肘,ひじ
弼,ヒツ
必,ヒツ
畢,ヒツ
筆,ヒツ
逼,ヒツ
桧,ひのき
姫,ひめ
媛,ひめ
紐,ひも
百,ヒャク
謬,ビュウ
俵,ヒョウ
彪,ヒョウ
標,ヒョウ
氷,ヒョウ
漂,ヒョウ
瓢,ヒョウ
票,ヒョウ
表,ヒョウ
評,ヒョウ
豹,ヒョウ
廟,ビョウ
描,ビョウ
病,ビョウ
秒,ビョウ
苗,ビョウ
錨,ビョウ
鋲,びょう
蒜,ひる
蛭,ひる
鰭,ひれ
品,ヒン
彬,ヒン
斌,ヒン
浜,ヒン
瀕,ヒン
貧,ヒン
賓,ヒン
頻,ヒン
敏,ビン
瓶,ビン
不,フ
付,フ
埠,フ
夫,フ
婦,フ
富,フ
冨,フ
布,フ
府,フ
怖,フ
扶,フ
敷,フ
斧,フ
普,フ
浮,フ
父,フ
符,フ
腐,フ
膚,フ
芙,フ
譜,フ
負,フ
賦,フ
赴,フ
阜,フ
附,フ
侮,ブ
撫,ブ
武,ブ
舞,ブ
葡,ブ
蕪,ブ
部,ブ
封,フウ
楓,フウ
風,フウ
葺,ふき
蕗,ふき
伏,フク
副,フク
復,フク
幅,フク
服,フク
福,フク
腹,フク
複,フク
覆,フク
淵,ふち
弗,フツ
払,フツ
沸,フツ
仏,ブツ
物,ブツ
鮒,ふな
分,フン
吻,フン
噴,フン
墳,フン
憤,フン
扮,フン
焚,フン
奮,フン
粉,フン
糞,フン
紛,フン
雰,フン
文,ブン
聞,ブン
丙,ヘイ
併,ヘイ
兵,ヘイ
塀,ヘイ
幣,ヘイ
平,ヘイ
弊,ヘイ
柄,ヘイ
並,ヘイ
蔽,ヘイ
閉,ヘイ
陛,ヘイ
米,ベイ
頁,ぺーじ
僻,ヘキ
壁,ヘキ
癖,ヘキ
碧,ヘキ
別,ベツ
瞥,ベツ
蔑,ベツ
箆,へら
偏,ヘン
変,ヘン
片,ヘン
篇,ヘン
編,ヘン
辺,ヘン
返,ヘン
遍,ヘン
便,ベン
勉,ベン
娩,ベン
弁,ベン
鞭,ベン
保,ホ
舗,ホ
鋪,ホ
圃,ホ
捕,ホ
歩,ホ
甫,ホ
補,ホ
輔,ホ
穂,ほ
募,ボ
墓,ボ
慕,ボ
戊,ボ
暮,ボ
母,ボ
簿,ボ
菩,ボ
倣,ホウ
俸,ホウ
包,ホウ
呆,ホウ
報,ホウ
奉,ホウ
宝,ホウ
峰,ホウ
峯,ホウ
崩,ホウ
庖,ホウ
抱,ホウ
捧,ホウ
放,ホウ
方,ホウ
朋,ホウ
法,ホウ
泡,ホウ
烹,ホウ
砲,ホウ
縫,ホウ
胞,ホウ
芳,ホウ
萌,ホウ
蓬,ホウ
蜂,ホウ
褒,ホウ
訪,ホウ
豊,ホウ
邦,ホウ
鋒,ホウ
飽,ホウ
鳳,ホウ
鵬,ホウ
乏,ボウ
亡,ボウ
傍,ボウ
剖,ボウ
坊,ボウ
妨,ボウ
帽,ボウ
忘,ボウ
忙,ボウ
房,ボウ
暴,ボウ
望,ボウ
某,ボウ
棒,ボウ
冒,ボウ
紡,ボウ
肪,ボウ
膨,ボウ
謀,ボウ
貌,ボウ
貿,ボウ
鉾,ボウ
防,ボウ
吠,ほえ
頬,ほお
北,ホク
僕,ボク
卜,ボク
墨,ボク
撲,ボク
朴,ボク
牧,ボク
睦,ボク
穆,ボク
釦,ぼたん
勃,ボツ
没,ボツ
殆,ほとんど
堀,ほり
幌,ほろ
奔,ホン
本,ホン
翻,ホン
凡,ボン
盆,ボン
摩,マ
磨,マ
魔,マ
麻,マ
埋,マイ
妹,マイ
昧,マイ
枚,マイ
毎,マイ
哩,まいる
槙,まき
幕,マク
膜,マク
枕,まくら
鮪,まぐろ
柾,まさ
鱒,ます
桝,ます
亦,また
俣,また
又,また
抹,マツ
末,マツ
沫,マツ
迄,まで
侭,まま
繭,まゆ
麿,まろ
万,マン
慢,マン
満,マン
漫,マン
蔓,マン
味,ミ
未,ミ
魅,ミ
巳,み
箕,み
岬,みさき
密,ミツ
蜜,ミツ
湊,みなと
蓑,みの
稔,みのり
脈,ミャク
妙,ミョウ
粍,みり
民,ミン
眠,ミン
務,ム
夢,ム
無,ム
牟,ム
矛,ム
霧,ム
鵡,ム
椋,むく
婿,むこ
娘,むすめ
冥,メイ
名,メイ
命,メイ
明,メイ
盟,メイ
迷,メイ
銘,メイ
鳴,メイ
姪,めい
牝,めす
滅,メツ
免,メン
棉,メン
綿,メン
緬,メン
面,メン
麺,メン
摸,モ
模,モ
茂,モ
妄,モウ
孟,モウ
毛,モウ
猛,モウ
盲,モウ
網,モウ
耗,モウ
蒙,モウ
儲,もうける
木,モク
黙,モク
目,モク
杢,もく
勿,モチ
餅,もち
尤,もっとも
戻,もどり
籾,もみ
貰,もらい
問,モン
悶,モン
紋,モン
門,モン
匁,もんめ
也,ヤ
冶,ヤ
夜,ヤ
爺,ヤ
耶,ヤ
野,ヤ
弥,や
矢,や
厄,ヤク
役,ヤク
約,ヤク
薬,ヤク
訳,ヤク
躍,ヤク
靖,やす
柳,やなぎ
薮,やぶ
鑓,やり
愉,ユ
愈,ユ
油,ユ
癒,ユ
諭,ユ
輸,ユ
唯,ユイ
佑,ユウ
優,ユウ
勇,ユウ
友,ユウ
宥,ユウ
幽,ユウ
悠,ユウ
憂,ユウ
揖,ユウ
有,ユウ
柚,ユウ
湧,ユウ
涌,ユウ
猶,ユウ
猷,ユウ
由,ユウ
祐,ユウ
裕,ユウ
誘,ユウ
遊,ユウ
邑,ユウ
郵,ユウ
雄,ユウ
融,ユウ
夕,ゆう
予,ヨ
余,ヨ
与,ヨ
誉,ヨ
輿,ヨ
預,ヨ
傭,ヨウ
幼,ヨウ
妖,ヨウ
容,ヨウ
庸,ヨウ
揚,ヨウ
揺,ヨウ
擁,ヨウ
曜,ヨウ
楊,ヨウ
様,ヨウ
洋,ヨウ
溶,ヨウ
熔,ヨウ
用,ヨウ
窯,ヨウ
羊,ヨウ
耀,ヨウ
葉,ヨウ
蓉,ヨウ
要,ヨウ
謡,ヨウ
踊,ヨウ
遥,ヨウ
陽,ヨウ
養,ヨウ
慾,ヨク
抑,ヨク
欲,ヨク
沃,ヨク
浴,ヨク
翌,ヨク
翼,ヨク
淀,よど
羅,ラ
螺,ラ
裸,ラ
来,ラ
莱,ラ
頼,ラ
雷,ライ
洛,ラク
絡,ラク
落,ラク
酪,ラク
乱,ラン
卵,ラン
嵐,ラン
欄,ラン
濫,ラン
藍,ラン
蘭,ラン
覧,ラン
利,リ
吏,リ
履,リ
李,リ
梨,リ
理,リ
璃,リ
痢,リ
裏,リ
裡,リ
里,リ
離,リ
陸,リク
律,リツ
率,リツ
立,リツ
葎,リツ
掠,リャク
略,リャク
劉,リュウ
流,リュウ
溜,リュウ
琉,リュウ
留,リュウ
硫,リュウ
粒,リュウ
隆,リュウ
竜,リュウ
龍,リュウ
侶,リョ
慮,リョ
旅,リョ
虜,リョ
了,リョウ
亮,リョウ
僚,リョウ
両,リョウ
凌,リョウ
寮,リョウ
料,リョウ
梁,リョウ
涼,リョウ
猟,リョウ
療,リョウ
瞭,リョウ
稜,リョウ
糧,リョウ
良,リョウ
諒,リョウ
遼,リョウ
量,リョウ
陵,リョウ
領,リョウ
力,リョク
緑,リョク
倫,リン
厘,リン
林,リン
淋,リン
燐,リン
琳,リン
臨,リン
輪,リン
隣,リン
鱗,リン
麟,リン
瑠,ル
塁,ルイ
涙,ルイ
累,ルイ
類,ルイ
令,レイ
伶,レイ
例,レイ
冷,レイ
励,レイ
嶺,レイ
怜,レイ
玲,レイ
礼,レイ
苓,レイ
鈴,レイ
隷,レイ
零,レイ
霊,レイ
麗,レイ
齢,レイ
暦,レキ
歴,レキ
列,レツ
劣,レツ
烈,レツ
裂,レツ
廉,レン
恋,レン
憐,レン
漣,レン
煉,レン
簾,レン
練,レン
聯,レン
蓮,レン
連,レン
錬,レン
呂,ロ
魯,ロ
櫓,ロ
炉,ロ
賂,ロ
路,ロ
露,ロ
労,ロウ
婁,ロウ
廊,ロウ
弄,ロウ
朗,ロウ
楼,ロウ
榔,ロウ
浪,ロウ
漏,ロウ
牢,ロウ
狼,ロウ
篭,ロウ
老,ロウ
聾,ロウ
蝋,ロウ
郎,ロウ
六,ロク
麓,ロク
禄,ロク
肋,ロク
録,ロク
論,ロン
倭,ワ
和,ワ
話,ワ
歪,ワイ
賄,ワイ
脇,わき
惑,ワク
枠,わく
鷲,わし
亙,わたり
亘,わたり
鰐,わに
詫,わび
藁,わら
蕨,わらび
椀,ワン
湾,ワン
碗,ワン
腕,ワン
