字,漢音
噥,ノウ
𩅽,ノウ
憹,ノウ
㺜,ノウ
儂,ノウ
𧗕,ノウ
膿,ノウ
攻,コウ
釭,コウ
䃔,コウ
洚,コウ
㗢,コウ
𩘎,コウ
䃧,ロウ
䥢,ロウ
𣫣,ロウ
宗,ソウ
倧,ソウ
鬆,ソウ
䯳,ソウ
炵,トウ
鍾,ショウ
鐘,ショウ
蚣,ショウ
忪,ショウ
䇗,ショウ
蹱,ショウ
彸,ショウ
衳,ショウ
伀,ショウ
橦,ショウ
籦,ショウ
妐,ショウ
㕬,ショウ
𧢸,ショウ
炂,ショウ
𦬘,ショウ
𨳗,ショウ
鈆,ショウ
龍,リョウ
𪚝,リョウ
躘,リョウ
鸗,リョウ
驡,リョウ
𪚠,リョウ
籠,リョウ
𦪽,リョウ
蘢,リョウ
舂,ショウ
𧐍,ショウ
摏,ショウ
蹖,ショウ
𪄻,ショウ
憃,ショウ
松,ショウ
㮤,ショウ
淞,ショウ
訟,ショウ
𧘂,チョウ
衝,チョウ
罿,チョウ
憧,チョウ
䡴,チョウ
艟,チョウ
潼,チョウ
褈,チョウ
𠟍,チョウ
𠝤,チョウ
䂌,チョウ
容,ヨウ
溶,ヨウ
滽,ヨウ
庸,ヨウ
𦤘,ヨウ
𧴄,ヨウ
㺎,ヨウ
𤛑,ヨウ
墉,ヨウ
鎔,ヨウ
鏞,ヨウ
銿,ヨウ
鄘,ヨウ
傭,ヨウ
𪅟,ヨウ
㼸,ヨウ
𤮇,ヨウ
鱅,ヨウ
蓉,ヨウ
䗤,ヨウ
傛,ヨウ
褣,ヨウ
搈,ヨウ
瑢,ヨウ
䈶,ヨウ
嵱,ヨウ
頌,ヨウ
㝐,ヨウ
䡆,ヨウ
㟾,ヨウ
𨲟,ヨウ
𪃾,ヨウ
槦,ヨウ
㣑,ヨウ
𢧳,ヨウ
封,ホウ
𡉚,ホウ
犎,ホウ
葑,ホウ
崶,ホウ
胷,キョウ
凶,キョウ
𣧑,キョウ
銎,キョウ
洶,キョウ
恟,キョウ
𧧗,キョウ
兇,キョウ
訩,キョウ
匈,キョウ
顒,ギョウ
𩤛,ギョウ
鰅,ギョウ
喁,ギョウ
邕,ヨウ
雍,ヨウ
噰,ヨウ
嗈,ヨウ
郺,ヨウ
澭,ヨウ
灉,ヨウ
癰,ヨウ
罋,ヨウ
廱,ヨウ
饔,ヨウ
壅,ヨウ
雝,ヨウ
𪄉,ヨウ
㻾,ヨウ
𧴗,ヨウ
醲,ヂョウ
𨑊,ヂョウ
濃,ヂョウ
襛,ヂョウ
穠,ヂョウ
檂,ヂョウ
𪒬,ヂョウ
𨲳,ヂョウ
重,チョウ
穜,チョウ
緟,チョウ
褈,チョウ
䳯,チョウ
蝩,チョウ
從,ショウ
从,ショウ
𩀰,ショウ
蹱,チョウ
傭,チョウ
𦟛,チョウ
𨙦,チョウ
䝑,チョウ
𨤩,チョウ
𪒒,チョウ
逢,ホウ
縫,ホウ
漨,ホウ
䩼,ホウ
𥎌,ホウ
夆,ホウ
𥛝,ホウ
捀,ホウ
峯,ホウ
鋒,ホウ
丰,ホウ
𡴀,ホウ
𢓱,ホウ
妦,ホウ
蠭,ホウ
蜂,ホウ
𧒒,ホウ
蘴,ホウ
桻,ホウ
㷭,ホウ
烽,ホウ
莑,ホウ
仹,ホウ
㸼,ホウ
縱,ショウ
𣯨,ショウ
蹤,ショウ
䡮,ショウ
樅,ショウ
磫,ショウ
豵,ショウ
熧,ショウ
𧺣,ショウ
茸,ジョウ
䩸,ジョウ
髶,ジョウ
䇯,ジョウ
襛,ジョウ
穠,ジョウ
搑,ジョウ
𥎂,ジョウ
榵,ジョウ
穁,ジョウ
蛩,キョウ
邛,キョウ
舼,キョウ
𦨰,キョウ
筇,キョウ
輁,キョウ
𦭭,キョウ
𥳎,キョウ
䂬,キョウ
蛬,キョウ
𠌖,キョウ
𩬰,キョウ
桏,キョウ
䅃,キョウ
𤤶,キョウ
𩢽,キョウ
鱅,ヨウ
慵,ヨウ
𩌨,ヨウ
恭,キョウ
龔,キョウ
供,キョウ
珙,キョウ
䢼,キョウ
共,キョウ
𤱨,キョウ
廾,キョウ
髸,キョウ
䳍,キョウ
蜙,ショウ
淞,ショウ
凇,ショウ
鬆,ショウ
倯,ショウ
𢔋,ショウ
樅,ショウ
鏦,ショウ
從,ショウ
暰,ショウ
䗥,ショウ
瑽,ショウ
摐,ショウ
䐫,ショウ
𥡬,ショウ
𧺣,ショウ
鬆,ショウ
𨑪,ショウ
銎,キョウ
𥳎,キョウ
江,カウ
扛,カウ
杠,カウ
茳,カウ
釭,カウ
矼,カウ
豇,カウ
肛,カウ
玒,カウ
𧢸,カウ
䜫,カウ
厖,バウ
駹,バウ
狵,バウ
尨,バウ
浝,バウ
哤,バウ
牻,バウ
娏,バウ
䵨,バウ
㟌,バウ
蛖,バウ
𥆙,バウ
痝,バウ
𠈵,バウ
𦗳,ナウ
𣰊,ナウ
涳,ナウ
噥,ナウ
𩟊,ナウ
鬞,ナウ
䁸,ナウ
𪆯,ナウ
囪,ソウ
䆫,ソウ
牎,ソウ
窓,ソウ
䎫,ソウ
堫,ソウ
摐,ソウ
鏦,ソウ
𥍷,ソウ
邦,ハウ
𤰫,ハウ
梆,ハウ
垹,ハウ
栙,カウ
䜶,カウ
降,カウ
缸,カウ
缻,カウ
洚,カウ
夅,カウ
跭,カウ
胮,ハウ
𤵸,ハウ
𩐨,ハウ
𪔔,ハウ
𪐿,ハウ
瀧,ラウ
䮾,ラウ
雙,サウ
艭,サウ
䉶,サウ
𢥠,サウ
䝄,サウ
瀧,サウ
𨇯,サウ
龐,ハウ
逄,ハウ
胮,ハウ
𩐨,ハウ
舽,ハウ
肛,カウ
啌,カウ
谾,カウ
舡,カウ
胦,アウ
腔,カウ
𤟄,カウ
羫,カウ
控,カウ
椌,カウ
悾,カウ
跫,カウ
涳,カウ
崆,カウ
𩩝,カウ
㾤,カウ
㼹,カウ
幢,タウ
撞,タウ
橦,タウ
𣃘,タウ
噇,タウ
𩪘,タウ
憃,タウ
䚎,タウ
𥡟,タウ
䄝,タウ
𧜧,タウ
樁,タウ
𣻛,タウ
㟅,ゴウ
淙,サウ
鬃,サウ
㼻,サウ
𩞐,サウ
支,シ
𥾣,シ
只,シ
汥,シ
㲍,シ
巵,シ
梔,シ
枝,シ
衹,シ
㽻,シ
衼,シ
肢,シ
胑,シ
𨈛,シ
禔,シ
馶,シ
氏,シ
疻,シ
㩼,シ
鳷,シ
䧴,シ
觶,シ
榰,シ
㯄,シ
𪂅,シ
𧌔,シ
眵,シ
䡋,シ
𩍲,シ
移,イ
䄬,イ
迻,イ
𠩗,イ
杝,イ
鉹,イ
袲,イ
箷,イ
𥠥,イ
㥴,イ
詑,イ
簃,イ
䔟,イ
熪,イ
扅,イ
衪,イ
暆,イ
迆,イ
𤝻,イ
栘,イ
歋,イ
酏,イ
匜,イ
拸,イ
謻,イ
𠗺,イ
蛇,イ
虵,イ
螔,イ
𠐀,イ
𣣢,イ
䬁,イ
爲,ヰ
為,ヰ
潙,ヰ
䧦,ヰ
鄬,ヰ
𩻟,ヰ
嬀,クヰ
潙,クヰ
𪎮,クヰ
麾,クヰ
噅,クヰ
撝,クヰ
𩻟,クヰ
