字,漢音
鸇,セン
𩔣,セン
甄,ケン
薽,ケン
籈,ケン
邅,テン
𧾍,テン
驙,テン
鱣,テン
𩼼,テン
潺,セン
孱,セン
𨬖,セン
䡲,セン
𡎻,セン
羶,セン
埏,セン
挻,セン
扇,セン
煽,セン
鯅,セン
脠,セン
䘰,セン
鋋,セン
單,セン
蟬,セン
撣,セン
儃,セン
僤,セン
禪,セン
澶,セン
嬋,セン
纏,テン
緾,テン
躔,テン
瀍,テン
鄽,テン
𨷭,テン
𧾍,テン
𧔊,テン
廛,テン
㙻,テン
連,レン
聮,レン
漣,レン
翴,レン
鰱,レン
㺦,レン
令,レン
鏈,レン
䃛,レン
㦁,レン
槤,レン
𪚁,レン
㶌,レン
篇,ヘン
偏,ヘン
翩,ヘン
媥,ヘン
㾫,ヘン
扁,ヘン
萹,ヘン
便,ヘン
緶,ヘン
楩,ヘン
平,ヘン
諞,ヘン
㛹,ヘン
箯,ヘン
𧍲,ヘン
楄,ヘン
緜,ベン
綿,ベン
棉,ベン
謾,ベン
矊,ベン
蝒,ベン
𧉄,ベン
矏,ベン
𢣔,ベン
芇,ベン
宀,ベン
𩕰,ベン
櫋,ベン
𣏜,ベン
臱,ベン
㮌,ベン
𣡠,ベン
全,ゼン
仝,ゼン
泉,ゼン
𧍭,ゼン
牷,ゼン
䀬,ゼン
葲,ゼン
宣,セン
揎,セン
㩊,セン
䳦,セン
愃,セン
𡈣,セン
𩕖,セン
瑄,セン
𩓧,セン
鐫,セン
鋑,セン
朘,セン
剶,セン
翾,クヱン
儇,クヱン
弲,クヱン
蠉,クヱン
𧾎,クヱン
嬛,クヱン
譞,クヱン
頨,クヱン
𥌭,クヱン
堧,ゼン
䙇,ゼン
𤲬,ゼン
瑌,ゼン
撋,ゼン
繎,ゼン
穿,セン
川,セン
灥,セン
沿,ヱン
㳂,ヱン
鉛,ヱン
鈆,ヱン
櫞,ヱン
捐,ヱン
鳶,ヱン
蝝,ヱン
緣,ヱン
䱲,ヱン
𦿂,ヱン
𦛔,ヱン
旋,セン
檈,セン
璿,セン
𤩅,セン
𤫀,セン
䗠,セン
㳬,セン
琁,セン
璇,セン
𣟳,セン
蜁,セン
㔯,セン
還,セン
圓,セン
䁢,セン
嫙,セン
鏇,セン
娟,ヱン
嬛,ヱン
悁,ヱン
蜎,ヱン
𡷡,ヱン
潫,ヱン
𡣬,ヱン
船,セン
舩,セン
鞭,ヘン
鯾,ヘン
鯿,ヘン
編,ヘン
箯,ヘン
揙,ヘン
詮,セン
銓,セン
硂,セン
痊,セン
佺,セン
悛,セン
駩,セン
筌,セン
絟,セン
譔,セン
謜,セン
縓,セン
恮,セン
荃,セン
𠛮,セン
峑,セン
𠥙,セン
鐉,セン
拴,セン
專,セン
甎,セン
顓,セン
篿,セン
嫥,セン
諯,セン
湍,セン
膞,セン
鱄,セン
鷒,セン
𩠹,セン
鄟,セン
遄,セン
篅,セン
圌,セン
諯,セン
輲,セン
輇,セン
椯,セン
歂,セン
貟,ヱン
圜,ヱン
圓,ヱン
湲,ヱン
恮,セン
跧,セン
䀬,セン
蟤,セン
栓,セン
𨏉,セン
乾,ケン
虔,ケン
犍,ケン
鰬,ケン
𨜻,ケン
騝,ケン
榩,ケン
鍵,ケン
揵,ケン
愆,ケン
䇂,ケン
諐,ケン
𠎝,ケン
褰,ケン
騫,ケン
䙭,ケン
𧽐,ケン
攐,ケン
㗔,ケン
權,クヱン
拳,クヱン
狋,クヱン
觠,クヱン
顴,クヱン
踡,クヱン
婘,クヱン
孉,クヱン
䠰,クヱン
𤷄,クヱン
犈,クヱン
蠸,クヱン
齤,クヱン
卷,クヱン
𪈻,クヱン
𥆗,クヱン
𥁠,クヱン
𢑆,クヱン
鬈,クヱン
䟒,クヱン
䑏,クヱン
蜷,クヱン
捲,クヱン
椽,テン
傳,テン
攣,レン
𤼙,レン
,レン
焉,エン
閼,エン
蔫,エン
嫣,エン
鄢,エン
燀,セン
𡰝,テン
勬,クヱン
蕭,セウ
簫,セウ
彇,セウ
蟰,セウ
橚,セウ
潚,セウ
𩙚,セウ
踃,セウ
㩋,セウ
箾,セウ
𦐺,セウ
㲖,セウ
艘,セウ
瞍,セウ
翛,セウ
撨,セウ
祧,テウ
佻,テウ
挑,テウ
脁,テウ
恌,テウ
𣂁,テウ
庣,テウ
銚,テウ
趒,テウ
聎,テウ
蓧,テウ
貂,テウ
䯾,テウ
𠚥,テウ
刁,テウ
琱,テウ
凋,テウ
鯛,テウ
䂏,テウ
雕,テウ
鵰,テウ
蛁,テウ
彫,テウ
𧜣,テウ
𧘨,テウ
䒒,テウ
𦶌,テウ
𦨣,テウ
𩾗,テウ
㚋,テウ
奝,テウ
弴,テウ
瞗,テウ
迢,テウ
條,テウ
樤,テウ
髫,テウ
跳,テウ
鋚,テウ
𧌁,テウ
蜩,テウ
佻,テウ
趒,テウ
苕,テウ
芀,テウ
調,テウ
鮡,テウ
岧,テウ
䯾,テウ
䩦,テウ
嬥,テウ
𠤼,テウ
𣬸,テウ
𠧪,テウ
鰷,テウ
驍,ケウ
梟,ケウ
𥄉,ケウ
澆,ケウ
憿,ケウ
釗,ケウ
邀,ケウ
蟂,ケウ
徼,ケウ
聊,レウ
𦗖,レウ
膋,レウ
膫,レウ
飉,レウ
遼,レウ
憀,レウ
竂,レウ
寥,レウ
料,レウ
㙩,レウ
橑,レウ
撩,レウ
摷,レウ
廖,レウ
僚,レウ
寮,レウ
鐐,レウ
簝,レウ
豂,レウ
鷯,レウ
𥲊,レウ
璙,レウ
嫽,レウ
漻,レウ
蟟,レウ
瞭,レウ
䜮,レウ
𧂏,レウ
𩯊,レウ
嶚,レウ
翏,レウ
繚,レウ
憭,レウ
獠,レウ
髎,レウ
𡽐,レウ
蟧,レウ
𦿌,レウ
敹,レウ
嘹,レウ
熮,レウ
堯,ゲウ
嶢,ゲウ
僥,ゲウ
垚,ゲウ
顤,ゲウ
幺,エウ
怮,エウ
葽,エウ
䱂,エウ
𥃩,エウ
鄡,ケウ
郻,ケウ
𢿣,ケウ
墽,ケウ
𡩇,ケウ
宵,セウ
消,セウ
霄,セウ
捎,セウ
逍,セウ
痟,セウ
綃,セウ
銷,セウ
焇,セウ
硝,セウ
蛸,セウ
莦,セウ
哨,セウ
𦐺,セウ
鮹,セウ
𤞚,セウ
䴛,セウ
揱,セウ
奞,セウ
魈,セウ
超,テウ
怊,テウ
欩,テウ
𢁾,テウ
𠰉,テウ
䫿,テウ
朝,テウ
𦩻,テウ
𪓙,テウ
晁,テウ
鼂,テウ
朝,テウ
潮,テウ
嚻,ケウ
枵,ケウ
歊,ケウ
毊,ケウ
獢,ケウ
𤣠,ケウ
藃,ケウ
呺,ケウ
𩱴,ケウ
虈,ケウ
樵,セウ
藮,セウ
劁,セウ
憔,セウ
顦,セウ
䏆,セウ
譙,セウ
嶕,セウ
𡻝,セウ
鐎,セウ
𨝱,セウ
僬,セウ
䩌,セウ
撨,セウ
菬,セウ
驕,ケウ
嬌,ケウ
憍,ケウ
穚,ケウ
鷮,ケウ
蕎,ケウ
喬,ケウ
簥,ケウ
撟,ケウ
焦,セウ
𤓪,セウ
㲬,セウ
蕉,セウ
膲,セウ
鷦,セウ
𩾗,セウ
椒,セウ
茮,セウ
噍,セウ
鐎,セウ
蟭,セウ
醮,セウ
𪚱,セウ
僬,セウ
燋,セウ
䌭,セウ
饒,ゼウ
橈,ゼウ
襓,ゼウ
㹛,ゼウ
蟯,ゼウ
蕘,ゼウ
燒,セウ
𤬖,セウ
遙,エウ
媱,エウ
傜,エウ
繇,エウ
颻,エウ
𣣳,エウ
窯,エウ
窰,エウ
䔄,エウ
𦾺,エウ
珧,エウ
鰩,エウ
銚,エウ
姚,エウ
搖,エウ
謠,エウ
軺,エウ
愮,エウ
恌,エウ
𨙂,エウ
陶,エウ
蘨,エウ
𤬖,エウ
鷂,エウ
洮,エウ
烑,エウ
𢋇,エウ
𢑄,エウ
㫍,エウ
榣,エウ
嗂,エウ
䠛,エウ
瑤,エウ
猺,エウ
餆,エウ
褕,エウ
韶,セウ
㲈,セウ
佋,セウ
𦯐,セウ
𠧙,セウ
玿,セウ
𢃳,セウ
軺,セウ
柖,セウ
㸛,セウ
昭,セウ
鵃,セウ
鉊,セウ
招,セウ
釗,セウ
盄,セウ
皽,セウ
鑣,ヘウ
𩽁,ヘウ
臕,ヘウ
儦,ヘウ
瀌,ヘウ
𦔩,ヘウ
藨,ヘウ
瓢,ヘウ
飄,ヘウ
剽,ヘウ
薸,ヘウ
𣞈,ヘウ
螵,ヘウ
蜱,ベウ
䖢,ベウ
篻,ベウ
㠺,ベウ
𪃦,ベウ
苗,ベウ
描,ベウ
緢,ベウ
貓,ベウ
猫,ベウ
要,エウ
腰,エウ
葽,エウ
喓,エウ
𧍔,エウ
䙅,エウ
邀,エウ
䳩,エウ
蟯,エウ
鴞,エウ
𨚙,エウ
喬,ケウ
橋,ケウ
趫,ケウ
僑,ケウ
㝯,ケウ
鐈,ケウ
鷮,ケウ
㠐,ケウ
毊,ケウ
轎,ケウ
嬌,ケウ
蕎,ケウ
蟜,ケウ
蹻,ケウ
𦒓,ケウ
䀉,ケウ
鍫,セウ
鐰,セウ
篍,セウ
幧,セウ
㡑,セウ
𣟼,セウ
𣖄,セウ
妖,エウ
祅,エウ
枖,エウ
訞,エウ
夭,エウ
蹻,ケウ
繑,ケウ
趬,ケウ
蹺,ケウ
䫞,ケウ
㚠,ケウ
怊,セウ
弨,セウ
爂,ヘウ
漂,ヘウ
杓,ヘウ
𩙒,ヘウ
嫖,ヘウ
旚,ヘウ
犥,ヘウ
鏢,ヘウ
僄,ヘウ
𪅃,ヘウ
飄,ヘウ
慓,ヘウ
彯,ヘウ
摽,ヘウ
𧽤,ヘウ
𨄏,ヘウ
翲,ヘウ
瞟,ヘウ
螵,ヘウ
嘌,ヘウ
𦠎,ヘウ
翹,ケウ
荍,ケウ
𧄍,ケウ
嘺,ケウ
䎗,ケウ
𤖻,ケウ
燎,レウ
髎,レウ
趫,ケウ
憍,ケウ
橇,ケウ
鞽,ケウ
肴,カウ
餚,カウ
崤,カウ
𦺔,カウ
殽,カウ
洨,カウ
筊,カウ
姣,カウ
猇,カウ
㮁,カウ
爻,カウ
淆,カウ
笅,カウ
胶,カウ
𨠦,カウ
䋂,カウ
倄,カウ
㤊,カウ
䂚,カウ
交,カウ
蛟,カウ
茭,カウ
鵁,カウ
膠,カウ
鮫,カウ
咬,カウ
郊,カウ
䍊,カウ
轇,カウ
㶀,カウ
䢒,カウ
教,カウ
䉰,カウ
𥹜,カウ
摎,カウ
鉸,カウ
佼,カウ
芁,カウ
詨,カウ
嘐,カウ
𩎔,カウ
巢,サウ
轈,サウ
勦,サウ
𡻝,サウ
𣝞,サウ
樔,サウ
𡏮,サウ
鄛,サウ
鐃,ダウ
呶,ダウ
譊,ダウ
怓,ダウ
䴃,ダウ
𣳦,ダウ
𥗰,ダウ
𡽧,ダウ
㺜,ダウ
梢,サウ
捎,サウ
髾,サウ
輎,サウ
旓,サウ
弰,サウ
䈰,サウ
筲,サウ
鞘,サウ
蛸,サウ
鮹,サウ
䘯,サウ
綃,サウ
颵,サウ
莦,サウ
娋,サウ
𡡏,サウ
茅,バウ
蝥,バウ
貓,バウ
犛,バウ
罞,バウ
鶜,バウ
描,バウ
媌,バウ
虓,カウ
猇,カウ
髇,カウ
藃,カウ
穘,カウ
窙,カウ
嗃,カウ
䬘,カウ
哮,カウ
庨,カウ
灱,カウ
涍,カウ
嘐,カウ
顤,カウ
𩾾,カウ
㹲,カウ
包,ハウ
胞,ハウ
枹,ハウ
苞,ハウ
勹,ハウ
胞,ハウ
𨚔,ハウ
䍖,ハウ
脬,ハウ
拋,ハウ
泡,ハウ
𠐋,ハウ
𢿏,ハウ
𦫶,ハウ
敲,カウ
跤,カウ
骹,カウ
膠,カウ
㤍,カウ
磽,カウ
䂭,カウ
礉,カウ
鄗,カウ
墝,カウ
頝,カウ
聱,ガウ
謷,ガウ
磝,ガウ
𢿣,ガウ
𦗔,サウ
罺,サウ
抓,サウ
𠿈,サウ
摷,サウ
嘲,タウ
䞴,タウ
啁,タウ
鳭,タウ
鵃,タウ
䜈,サウ
抄,サウ
鈔,サウ
𦾱,サウ
訬,サウ
䰫,サウ
庖,ハウ
咆,ハウ
匏,ハウ
炮,ハウ
炰,ハウ
鉋,ハウ
瓟,ハウ
麃,ハウ
掊,ハウ
颮,ハウ
鞄,ハウ
狍,ハウ
跑,ハウ
捊,ハウ
尥,ハウ
泡,ハウ
㯡,ハウ
䫜,アウ
㕭,アウ
坳,アウ
窅,アウ
軪,アウ
眑,アウ
咬,アウ
梎,アウ
𠣑,アウ
䄻,タウ
豪,カウ
號,カウ
毫,カウ
噑,カウ
獋,カウ
濠,カウ
壕,カウ
𩕍,カウ
𣘫,カウ
崤,カウ
𨚙,カウ
𠢕,カウ
𨼍,カウ
髙,カウ
膏,カウ
臯,カウ
皋,カウ
羔,カウ
餻,カウ
𡼗,カウ
櫜,カウ
咎,カウ
鼛,カウ
鷱,カウ
篙,カウ
橰,カウ
𧢌,カウ
䔌,カウ
㤒,カウ
䆁,カウ
𣓌,カウ
倃,カウ
䓘,カウ
𨝲,カウ
勞,ラウ
澇,ラウ
牢,ラウ
窂,ラウ
簩,ラウ
䝁,ラウ
𧰉,ラウ
蟧,ラウ
醪,ラウ
撈,ラウ
㟉,ラウ
㗦,ラウ
髝,ラウ
憥,ラウ
𦗖,ラウ
䜮,ラウ
𨦭,ラウ
𤩂,ラウ
嫪,ラウ
哰,ラウ
𣘪,ラウ
簝,ラウ
蒿,カウ
𧯌,カウ
撓,カウ
薧,カウ
薅,カウ
茠,カウ
𣐾,カウ
毛,ボウ
髦,ボウ
芼,ボウ
𣹪,ボウ
旄,ボウ
氂,ボウ
楙,ボウ
枆,ボウ
酕,ボウ
堥,ボウ
饕,タウ
洮,タウ
韜,タウ
縚,タウ
謟,タウ
滔,タウ
叨,タウ
弢,タウ
𩥓,タウ
㹗,タウ
𤘸,タウ
慆,タウ
絛,タウ
幍,タウ
𠌪,タウ
槄,タウ
蜪,タウ
夲,タウ
𠦎,タウ
綢,タウ
搯,タウ
翢,タウ
瑫,タウ
𠬢,タウ
䈱,タウ
𠚜,タウ
詜,タウ
挑,タウ
刀,タウ
魛,タウ
忉,タウ
裯,タウ
舠,タウ
𩕯,タウ
朷,タウ
騷,サウ
搔,サウ
缫,サウ
繰,サウ
臊,サウ
鰠,サウ
溞,サウ
颾,サウ
鱢,サウ
㮴,サウ
䑹,サウ
𠋺,サウ
慅,サウ
袍,ホウ
袌,ホウ
軳,ホウ
襃,ホウ
褒,ホウ
𠅬,ホウ
𨚔,ホウ
陶,タウ
䛬,タウ
䛌,タウ
咷,タウ
桃,タウ
綯,タウ
燾,タウ
逃,タウ
鼗,タウ
鞀,タウ
鞉,タウ
濤,タウ
掏,タウ
檮,タウ
騊,タウ
萄,タウ
翿,タウ
䬞,タウ
匋,タウ
啕,タウ
翢,タウ
錭,タウ
駣,タウ
蜪,タウ
裪,タウ
糟,サウ
𦵩,サウ
醩,サウ
遭,サウ
㷮,サウ
槽,サウ
傮,サウ
𣩒,サウ
㡟,サウ
敖,ガウ
遨,ガウ
翺,ガウ
聱,ガウ
驁,ガウ
熬,ガウ
嶅,ガウ
獒,ガウ
滶,ガウ
蔜,ガウ
鷔,ガウ
鼇,ガウ
螯,ガウ
謷,ガウ
嗸,ガウ
嗷,ガウ
䫨,ガウ
𢧴,ガウ
摮,ガウ
嫯,ガウ
䦋,ガウ
𣘢,ガウ
𦪈,ガウ
𩪕,ガウ
鰲,ガウ
曹,サウ
𣍘,サウ
槽,サウ
螬,サウ
嘈,サウ
鐰,サウ
䄚,サウ
艚,サウ
䏆,サウ
𩫥,サウ
䐬,サウ
蓸,サウ
漕,サウ
褿,サウ
𤏶,アウ
䥝,アウ
鏖,アウ
猱,ダウ
㺜,ダウ
𤣜,ダウ
巎,ダウ
嶩,ダウ
峱,ダウ
𤫕,ダウ
獿,ダウ
尻,カウ
訄,カウ
操,サウ
幧,サウ
𢻥,サウ
㡟,サウ
歌,カ
謌,カ
柯,カ
妿,カ
㤎,カ
菏,カ
牁,カ
戕,カ
滒,カ
哥,カ
鴚,カ
蹉,サ
瑳,サ
搓,サ
磋,サ
溠,サ
傞,サ
𪘓,サ
多,タ
𦰿,タ
𦷛,タ
娑,サ
挱,サ
挲,サ
傞,サ
𩊮,サ
獻,サ
䓾,サ
𠈱,サ
桫,サ
䤬,サ
𥆝,サ
駝,タ
駞,タ
鼉,タ
𡩆,タ
紽,タ
鮀,タ
陀,タ
驒,タ
䍫,タ
沱,タ
跎,タ
詑,タ
池,タ
酡,タ
㼠,タ
䭾,タ
迱,タ
鼧,タ
袉,タ
𩉺,タ
䡐,タ
𧕛,タ
佗,タ
莪,ガ
哦,ガ
娥,ガ
䄉,ガ
峩,ガ
鵝,ガ
俄,ガ
𩒰,ガ
蛾,ガ
睋,ガ
涐,ガ
誐,ガ
硪,ガ
佗,タ
他,タ
拕,タ
它,タ
蛇,タ
痑,タ
鼧,タ
羅,ラ
蘿,ラ
籮,ラ
儸,ラ
饠,ラ
𤄷,ラ
欏,ラ
囉,ラ
鑼,ラ
剆,ラ
那,ダ
㔮,ダ
𤘟,ダ
挪,ダ
儺,ダ
𠹈,ダ
𡖔,ダ
𩴓,ダ
臡,ダ
何,カ
河,カ
荷,カ
菏,カ
苛,カ
蚵,カ
魺,カ
訶,カ
呵,カ
𩑸,カ
㱒,カ
抲,カ
珂,カ
𠳊,カ
䯊,カ
軻,カ
阿,ア
娿,ア
痾,ア
妸,ア
妿,ア
䋪,ア
鈳,ア
戈,クヮ
過,クヮ
渦,クヮ
鍋,クヮ
𨍋,クヮ
楇,クヮ
瘑,クヮ
㽿,クヮ
𩰫,クヮ
𩰬,クヮ
㗻,クヮ
緺,クヮ
堝,クヮ
𩾷,クヮ
𧒖,クヮ
遳,サ
𨹃,タ
桗,タ
莎,サ
魦,サ
莏,サ
𢘿,サ
趖,サ
蓑,サ
唆,サ
𧨀,サ
髿,サ
梭,サ
𣜤,サ
㛗,サ
婆,ハ
媻,ハ
鄱,ハ
皤,ハ
𩕏,ハ
繁,ハ
搫,ハ
蔢,ハ
碆,ハ
㸰,タ
碢,タ
堶,タ
摩,バ
𩞁,バ
𥂓,バ
𡡉,バ
魔,バ
䯢,バ
磨,バ
劘,バ
𦟟,バ
𦣆,バ
䭩,バ
矬,サ
痤,サ
銼,サ
㭫,サ
睉,サ
訛,グヮ
譌,グヮ
吪,グヮ
鈋,グヮ
囮,グヮ
魤,グヮ
𠂬,グヮ
詑,タ
𧦭,タ
涶,タ
䛢,タ
䜏,タ
𩼊,ラ
摞,ラ
騾,ラ
驘,ラ
𦿌,ラ
鸁,ラ
𣜄,ラ
螺,ラ
蠃,ラ
𥢵,ラ
𥡜,ラ
𧄿,ラ
𨰠,ラ
覼,ラ
腡,ラ
蠡,ラ
捼,ダ
䎠,ダ
波,ハ
皤,ハ
紴,ハ
嶓,ハ
番,ハ
碆,ハ
頗,ハ
坡,ハ
𨸭,ハ
玻,ハ
和,クヮ
咊,クヮ
𤖱,クヮ
禾,クヮ
龢,クヮ
鉌,クヮ
䒩,クヮ
㗻,クヮ
盉,クヮ
科,クヮ
窠,クヮ
薖,クヮ
稞,クヮ
萪,クヮ
蝌,クヮ
㸰,クヮ
犐,クヮ
課,クヮ
簻,クヮ
䈖,クヮ
㽿,クヮ
髁,クヮ
𠏀,クヮ
倭,ワ
濄,ワ
渦,ワ
涹,ワ
𡑟,ワ
踒,ワ
𥟿,ワ
鞾,クヮ
靴,クヮ
𢪎,クヮ
㗾,クヮ
伽,カ
茄,カ
枷,カ
佉,キャ
呿,キャ
㰦,キャ
𠋧,キャ
脞,サ
㛗,サ
麻,バ
犘,バ
蟆,バ
𪓹,バ
𩔶,バ
痲,バ
𥂓,バ
㦄,バ
車,シャ
硨,シャ
奢,シャ
賒,シャ
畲,シャ
邪,ヤ
耶,ヤ
瑘,ヤ
釾,ヤ
鎁,ヤ
椰,ヤ
擨,ヤ
斜,ヤ
䓉,ヤ
𦰳,ヤ
䔑,ヤ
𦭿,ヤ
𥯘,ヤ
遮,シャ
𠌮,シャ
㸙,シャ
諸,シャ
嗟,シャ
𧨁,シャ
罝,シャ
蒫,シャ
謯,シャ
瘥,シャ
𨲠,シャ
袓,シャ
㜘,シャ
怚,シャ
𣩈,シャ
䦈,シャ
蛇,シャ
虵,シャ
荼,シャ
華,クヮ
驊,クヮ
鷨,クヮ
𧑍,クヮ
鋘,クヮ
鏵,クヮ
釫,クヮ
樺,クヮ
崋,クヮ
划,クヮ
瓜,クヮ
騧,クヮ
緺,クヮ
婐,クヮ
蝸,クヮ
媧,クヮ
㧓,クヮ
華,クヮ
花,クヮ
譁,クヮ
𧪮,クヮ
誇,クヮ
䠸,クヮ
夸,クヮ
姱,クヮ
跨,クヮ
胯,クヮ
𠇗,クヮ
䯞,クヮ
拏,ダ
詉,ダ
挐,ダ
摣,ダ
蒘,ダ
𧘽,ダ
𧦮,ダ
笯,ダ
嘉,カ
家,カ
加,カ
葭,カ
笳,カ
麚,カ
䴥,カ
豭,カ
猳,カ
痂,カ
鴐,カ
枷,カ
袈,カ
𣮫,カ
跏,カ
𨔣,カ
𤠙,カ
𧉪,カ
茄,カ
迦,カ
珈,カ
瘕,カ
犌,カ
幏,カ
貑,カ
蟼,カ
遐,カ
蝦,カ
鍜,カ
霞,カ
瑕,カ
騢,カ
鰕,カ
䠍,カ
䫗,カ
碬,カ
䪗,カ
𩋥,カ
赮,カ
蕸,カ
葩,ハ
鈀,ハ
妑,ハ
蚆,ハ
吧,ハ
舥,ハ
𧣃,ハ
鴉,ア
鵶,ア
錏,ア
㝞,ア
椏,ア
丫,ア
䃁,ア
𠜲,ア
巴,ハ
鈀,ハ
笆,ハ
豝,ハ
芭,ハ
㿬,ハ
蚆,ハ
吧,ハ
叉,サ
杈,サ
差,サ
靫,サ
鎈,サ
䐤,サ
𠞊,サ
艖,サ
䑡,サ
鯊,サ
魦,サ
沙,サ
砂,サ
裟,サ
㲚,サ
桬,サ
紗,サ
髿,サ
𩊮,サ
硰,サ
牙,ガ
衙,ガ
芽,ガ
齖,ガ
呀,ガ
枒,ガ
吾,ガ
樝,サ
柤,サ
𦳏,サ
㪥,サ
䶥,サ
皻,サ
抯,サ
溠,サ
渣,サ
𤹡,サ
𥡧,サ
浾,サ
衺,シャ
斜,シャ
邪,シャ
䔑,シャ
闍,シャ
余,シャ
鉈,シャ
鍦,シャ
𥍸,シャ
窊,ワ
洼,ワ
畖,ワ
蛙,ワ
窪,ワ
哇,ワ
髽,サ
爬,ハ
杷,ハ
琶,ハ
楂,サ
査,サ
槎,サ
䶥,サ
㢒,サ
苴,サ
侘,タ
哆,タ
𤵾,タ
㗬,タ
奓,タ
𧬅,タ
觰,タ
䅊,タ
𤶠,タ
咤,タ
𪗭,タ
䐒,タ
煆,カ
呀,カ
谺,カ
疨,カ
岈,カ
颬,カ
若,ジャ
婼,ジャ
些,シャ
爹,チャ
𣢉,グヮ
𩨾,グヮ
陽,ヤウ
暘,ヤウ
楊,ヤウ
揚,ヤウ
颺,ヤウ
昜,ヤウ
羊,ヤウ
样,ヤウ
眻,ヤウ
佯,ヤウ
詳,ヤウ
徉,ヤウ
洋,ヤウ
烊,ヤウ
煬,ヤウ
鍚,ヤウ
𩋬,ヤウ
輰,ヤウ
敭,ヤウ
瘍,ヤウ
鴹,ヤウ
鰑,ヤウ
鸉,ヤウ
蛘,ヤウ
禓,ヤウ
崵,ヤウ
諹,ヤウ
瑒,ヤウ
𥂸,ヤウ
𦭵,ヤウ
𦍹,ヤウ
詳,ヤウ
洋,ヤウ
翔,ヤウ
庠,ヤウ
祥,ヤウ
𨀘,ヤウ
𦍙,ヤウ
痒,ヤウ
良,リャウ
梁,リャウ
粱,リャウ
粮,リャウ
糧,リャウ
涼,リャウ
凉,リャウ
𩗬,リャウ
量,リャウ
蜋,リャウ
踉,リャウ
椋,リャウ
䝶,リャウ
綡,リャウ
𣄴,リャウ
㹁,リャウ
䣼,リャウ
輬,リャウ
香,キャウ
皀,キャウ
薌,キャウ
鄉,キャウ
膷,キャウ
商,シャウ
𧶜,シャウ
傷,シャウ
𥏻,シャウ
殤,シャウ
慯,シャウ
觴,シャウ
湯,シャウ
蔏,シャウ
𪄲,シャウ
螪,シャウ
㲽,シャウ
䵮,シャウ
禓,シャウ
饟,シャウ
䵼,シャウ
塲,シャウ
𤳈,シャウ
房,ハウ
防,ハウ
坊,ハウ
魴,ハウ
方,ハウ
肪,ハウ
鴋,ハウ
章,シャウ
漳,シャウ
樟,シャウ
慞,シャウ
璋,シャウ
彰,シャウ
墇,シャウ
障,シャウ
麞,シャウ
獐,シャウ
鄣,シャウ
蔁,シャウ
𪅂,シャウ
𩌬,シャウ
暲,シャウ
昌,シャウ
裮,シャウ
倡,シャウ
猖,シャウ
閶,シャウ
琩,シャウ
鯧,シャウ
菖,シャウ
羌,キャウ
猐,キャウ
𡸓,キャウ
蜣,キャウ
薑,キャウ
𧅁,キャウ
畺,キャウ
疆,キャウ
壃,キャウ
畕,キャウ
㹔,キャウ
繮,キャウ
韁,キャウ
殭,キャウ
礓,キャウ
橿,キャウ
姜,キャウ
䗵,キャウ
僵,キャウ
長,チャウ
萇,チャウ
腸,チャウ
場,チャウ
䠆,チャウ
㙊,チャウ
䗅,チャウ
瓺,チャウ
張,チャウ
餦,チャウ
粻,チャウ
漲,チャウ
穰,ジャウ
禳,ジャウ
攘,ジャウ
𣀮,ジャウ
鑲,ジャウ
𨟚,ジャウ
躟,ジャウ
瀼,ジャウ
𩆶,ジャウ
獽,ジャウ
儴,ジャウ
蘘,ジャウ
䉴,ジャウ
鬤,ジャウ
勷,ジャウ
瓤,ジャウ
孃,ジャウ
方,ハウ
汸,ハウ
坊,ハウ
蚄,ハウ
肪,ハウ
邡,ハウ
鴋,ハウ
枋,ハウ
鈁,ハウ
牥,ハウ
趽,ハウ
䄱,ハウ
匚,ハウ
襄,シャウ
廂,シャウ
湘,シャウ
相,シャウ
緗,シャウ
纕,シャウ
忀,シャウ
驤,シャウ
鑲,シャウ
瓖,シャウ
欀,シャウ
箱,シャウ
葙,シャウ
將,シャウ
漿,シャウ
鱂,シャウ
蔣,シャウ
螿,シャウ
𢪇,シャウ
創,サウ
瘡,サウ
𠛂,サウ
亡,バウ
芒,バウ
莣,バウ
鋩,バウ
硭,バウ
杗,バウ
朚,バウ
邙,バウ
𨛌,バウ
望,バウ
朢,バウ
孃,ヂャウ
娘,ヂャウ
瓤,ヂャウ
鑲,ヂャウ
牀,サウ
床,サウ
疒,サウ
莊,サウ
㽵,サウ
妝,サウ
裝,サウ
䊋,サウ
常,シャウ
尚,シャウ
裳,シャウ
甞,シャウ
嘗,シャウ
鋿,シャウ
𩼝,シャウ
償,シャウ
𪄹,シャウ
徜,シャウ
霜,サウ
鸘,サウ
鷞,サウ
孀,サウ
驦,サウ
騻,サウ
蠰,サウ
牆,シャウ
廧,シャウ
墻,シャウ
佯,シャウ
嬙,シャウ
檣,シャウ
薔,シャウ
蘠,シャウ
戕,シャウ
𤞛,シャウ
鏘,シャウ
瑲,シャウ
槍,シャウ
蹌,シャウ
蹡,シャウ
𨄚,シャウ
斨,シャウ
牄,シャウ
嶈,シャウ
𨶆,シャウ
𥏻,シャウ
搶,シャウ
匡,クヰャウ
邼,クヰャウ
筐,クヰャウ
䖱,クヰャウ
框,クヰャウ
恇,クヰャウ
劻,クヰャウ
𩬹,クヰャウ
洭,クヰャウ
軭,クヰャウ
眶,クヰャウ
䒰,クヰャウ
𩢼,クヰャウ
