小韻,字,漢音
356,揩,カイ
357,摨,ゲイ
358,崽,サイ
359,𩂢,ガイ
360,搋,
361,𢓬,
362,䐯,
363,膗,
364,灰,クヮイ
365,恢,クヮイ
366,隈,ワイ
367,回,クヮイ
368,枚,バイ
369,傀,クヮイ
370,雷,ライ
371,穨,タイ
372,崔,サイ
373,磓,タイ
374,𤗯,サイ
375,摧,サイ
376,裴,ハイ
377,桮,ハイ
378,肧,ハイ
379,鮠,グヮイ
380,𨌴,タイ
381,𢅼,ダイ
382,嗺,サイ
383,咍,カイ
384,開,カイ
385,哀,アイ
386,臺,タイ
387,該,カイ
388,裁,サイ
389,來,ライ
390,烖,サイ
391,猜,サイ
392,𤗏,ハイ
393,胎,タイ
394,孩,カイ
395,鰓,サイ
396,皚,ガイ
397,能,ダイ
398,𪒴,タイ
399,㹗,サイ
400,𡜊,ハイ
401,眞,シン
402,𤣆,チン
403,因,イン
404,新,シン
405,辰,シン
406,仁,ジン
407,神,シン
408,親,シン
409,礥,キン
410,申,シン
411,賔,ヒン
412,㷠,リン
413,𥎊,キン
414,珍,チン
415,陳,チン
416,津,シン
417,瞋,シン
418,秦,シン
419,寅,イン
420,紉,ヂン
421,繽,ヒン
422,頻,ヒン
423,銀,ギン
424,巾,キン
425,麏,クン
426,筠,ヰン
427,囷,クヰン
428,珉,ビン
429,貧,ヒン
430,𪔗,
431,贇,ヰン
432,彬,ヒン
433,民,ミン
434,諄,シュン
435,椿,シュン
436,䣩,シュン
437,荀,シュン
438,純,シュン
439,犉,ジュン
440,脣,シュン
441,淪,リン
442,屯,チュン
443,逡,シュン
444,遵,シュン
445,春,シュン
446,鷷,
447,勻,ヰン
448,旬,シュン
449,均,クヰン
450,𧼒,
451,砏,
452,臻,シン
453,莘,シン
454,𦿒,
455,文,ブン
456,雲,ウン
457,煴,ウン
458,汾,フン
459,分,フン
460,羣,クン
461,薰,クン
462,君,クン
463,芬,フン
464,欣,キン
465,殷,イン
466,勤,キン
467,斤,キン
468,䖐,ギン
469,元,グヱン
470,袁,ヱン
471,煩,ハン
472,飜,ハン
473,暄,クヱン
474,鴛,ヱン
475,言,ゲン
476,攑,
477,軒,ケン
478,𢳚,ケン
479,蔫,エン
480,蕃,ハン
481,𥴤,ケン
482,樠,バン
483,䰟,コン
484,昆,コン
485,𥁕,ヲン
486,門,モン
487,孫,ソン
488,尊,ソン
489,存,ソン
490,敦,トン
491,暾,トン
492,屯,トン
493,村,ソン
494,㑮,
495,盆,ホン
496,奔,ホン
497,論,ロン
498,坤,コン
499,昏,コン
500,濆,ホン
501,黁,ドン
502,痕,コン
503,根,コン
504,恩,オン
505,吞,トン
506,垠,
507,寒,カン
508,豻,ガン
509,單,タン
510,安,アン
511,難,ダン
512,餐,サン
513,灘,タン
514,𦙽,サン
515,壇,タン
516,殘,サン
517,干,カン
518,蘭,ラン
519,看,カン
520,頇,カン
521,濡,ダン
522,桓,クヮン
523,岏,グヮン
524,端,タン
525,剜,ワン
526,湍,タン
527,酸,サン
528,團,タン
529,櫕,サン
530,官,クヮン
531,鑾,ラン
532,歡,クヮン
533,寬,クヮン
534,鑚,サン
535,槃,ハン
536,瞞,バン
537,潘,ハン
538,𤳖,ハン
539,刪,サン
540,關,クヮン
541,彎,ワン
542,𣠯,
543,還,クヮン
544,班,ハン
545,蠻,バン
546,顏,ガン
547,姦,カン
548,攀,ハン
549,奻,
550,𤸷,
551,馯,カン
552,豻,カン
553,跧,
554,山,サン
555,鰥,クヮン
556,閒,カン
557,閑,カン
558,慳,カン
559,虥,サン
560,羴,セン
561,詽,ガン
562,黰,
563,斒,ハン
564,斕,
565,嘫,
566,㺗,
567,嬽,
568,窀,
569,𡰠,
570,𡰝,
571,譠,タン
572,𤣆,
573,湲,クヮン
574,虥,
575,先,セン
576,前,セン
577,千,セン
578,箋,セン
579,天,テン
580,堅,ケン
581,賢,ケン
582,煙,エン
583,蓮,レン
584,田,テン
585,秊,ネン
586,顚,テン
587,牽,ケン
588,姸,ゲン
589,眠,ベン
590,蹁,ヘン
591,淵,ヱン
592,涓,クヱン
593,鋗,クヱン
594,邊,ヘン
595,玄,クヱン
596,祆,ケン
597,𤜼,
598,仙,セン
599,錢,セン
600,遷,セン
601,煎,セン
602,然,ゼン
603,延,エン
604,𩜾,セン
605,甄,ケン
606,邅,テン
607,潺,セン
608,羶,セン
609,脠,
610,鋋,セン
611,纏,テン
612,嘕,
613,連,レン
614,篇,ヘン
615,便,ヘン
616,緜,ベン
617,全,ゼン
618,宣,セン
619,鐫,セン
620,翾,クヱン
621,堧,ゼン
622,穿,セン
623,沿,ヱン
624,旋,セン
625,娟,ヱン
626,船,セン
627,鞭,ヘン
628,㳄,
629,詮,セン
630,專,セン
631,遄,セン
632,貟,ヱン
633,恮,セン
634,栓,セン
635,猭,
636,乾,ケン
637,愆,ケン
638,權,クヱン
639,椽,テン
640,攣,レン
641,弮,
642,焉,エン
643,漹,
644,嬽,
645,燀,セン
646,𡰝,テン
647,勬,クヱン
648,蕭,セウ
649,祧,テウ
650,貂,テウ
651,迢,テウ
652,驍,ケウ
653,聊,レウ
654,堯,ゲウ
655,膮,
656,幺,エウ
657,鄡,ケウ
658,宵,セウ
659,超,テウ
660,朝,テウ
661,𪓙,テウ
662,嚻,ケウ
663,樵,セウ
664,驕,ケウ
665,焦,セウ
666,饒,ゼウ
667,燒,セウ
668,遙,エウ
669,韶,セウ
670,昭,セウ
671,飊,
672,鑣,ヘウ
673,瓢,ヘウ
674,蜱,ベウ
675,苗,ベウ
676,要,エウ
677,鴞,エウ
678,喬,ケウ
679,鍫,セウ
680,妖,エウ
681,蹻,ケウ
682,怊,セウ
683,爂,ヘウ
684,翹,ケウ
685,燎,レウ
686,趫,ケウ
687,肴,カウ
688,交,カウ
689,巢,サウ
690,鐃,ダウ
691,梢,サウ
692,茅,バウ
693,虓,カウ
694,包,ハウ
695,胞,ハウ
696,敲,カウ
697,聱,ガウ
698,𦗔,サウ
699,嘲,タウ
700,䜈,サウ
701,庖,ハウ
702,䫜,アウ
703,䫸,
704,顟,
705,䄻,タウ
706,豪,カウ
707,髙,カウ
708,勞,ラウ
709,蒿,カウ
710,毛,ボウ
711,饕,タウ
712,刀,タウ
713,騷,サウ
714,袍,ホウ
715,襃,ホウ
716,陶,タウ
717,糟,サウ
718,敖,ガウ
719,曹,サウ
720,𤏶,アウ
721,猱,ダウ
722,尻,カウ
723,操,サウ
724,㯱,
725,歌,カ
726,蹉,サ
727,多,タ
728,娑,サ
729,駝,タ
730,醝,
731,莪,ガ
732,佗,タ
733,羅,ラ
734,那,ダ
735,何,カ
736,訶,カ
737,珂,カ
738,阿,ア
739,戈,クヮ
740,遳,サ
741,𨹃,タ
742,莎,サ
743,婆,ハ
744,㸰,タ
745,摩,バ
746,矬,サ
747,訛,グヮ
748,詑,タ
749,𩼊,ラ
750,捼,ダ
751,波,ハ
752,頗,ハ
753,和,クヮ
754,科,クヮ
755,倭,ワ
756,鞾,クヮ
757,𦚢,
758,𩨷,
759,伽,カ
760,佉,キャ
761,迦,
762,脞,サ
763,侳,
764,瘸,
765,𦣛,
766,麻,バ
767,車,シャ
768,奢,シャ
769,邪,ヤ
770,遮,シャ
771,嗟,シャ
772,蛇,シャ
773,華,クヮ
774,瓜,クヮ
775,華,クヮ
776,誇,クヮ
777,拏,ダ
778,嘉,カ
779,遐,カ
780,葩,ハ
781,鴉,ア
782,巴,ハ
783,叉,サ
784,鯊,サ
785,牙,ガ
786,樝,サ
787,𡨀,
788,衺,シャ
789,闍,シャ
790,窊,ワ
791,髽,サ
792,檛,
793,爬,ハ
794,楂,サ
795,侘,タ
796,奓,タ
797,煆,カ
798,䶗,
799,㚗,
800,若,ジャ
801,些,シャ
802,爹,チャ
803,𣢉,グヮ
804,𣘟,
805,陽,ヤウ
806,詳,ヤウ
807,良,リャウ
808,香,キャウ
809,商,シャウ
810,房,ハウ
811,章,シャウ
812,昌,シャウ
813,羌,キャウ
814,薑,キャウ
815,長,チャウ
816,張,チャウ
817,穰,ジャウ
818,方,ハウ
819,襄,シャウ
820,將,シャウ
821,創,サウ
822,亡,バウ
823,孃,ヂャウ
824,牀,サウ
825,莊,サウ
826,常,シャウ
827,霜,サウ
828,牆,シャウ
829,鏘,シャウ
830,匡,クヰャウ
831,王,ワウ
832,央,ヤウ
833,強,キャウ
834,𦳝,タウ
835,芳,ハウ
836,狂,クヰャウ
837,唐,タウ
838,郎,ラウ
839,當,タウ
840,倉,サウ
841,岡,カウ
842,桑,サウ
843,康,カウ
844,荒,クヮウ
845,黃,クヮウ
846,光,クヮウ
847,湯,タウ
848,滂,ハウ
849,汪,ワウ
850,鴦,アウ
851,炕,カウ
852,航,カウ
853,茫,バウ
854,臧,サウ
855,囊,ダウ
856,傍,ハウ
857,卬,ガウ
858,藏,サウ
859,䯑,クヮウ
860,幫,ハウ
861,庚,カウ
862,阬,カウ
863,盲,バウ
864,橫,クヮウ
865,閍,ハウ
866,諻,
867,觵,クヮウ
868,彭,ハウ
869,脝,
870,瞠,タウ
871,鎗,サウ
872,傖,サウ
873,霙,エイ
874,磅,ハウ
875,平,ヘイ
876,驚,ケイ
877,明,メイ
878,棖,タウ
879,趟,タウ
880,榮,ヱイ
881,兵,ヘイ
882,兄,クヱイ
883,卿,ケイ
884,生,セイ
885,擎,ケイ
886,迎,ゲイ
887,行,カウ
888,鬤,ダウ
889,耕,カウ
890,鏗,カウ
891,甍,バウ
892,浜,ハウ
893,宏,クヮウ
894,莖,カウ
895,朾,
896,甖,アウ
897,崢,サウ
898,琤,サウ
899,儜,ダウ
900,怦,ハウ
901,轟,クヮウ
902,繃,ハウ
903,橙,タウ
904,泓,ワウ
905,輣,
906,娙,ガウ
907,爭,サウ
908,清,セイ
909,情,セイ
910,精,セイ
911,盈,エイ
912,營,エイ
913,嬰,エイ
914,貞,テイ
915,檉,テイ
916,成,セイ
917,呈,テイ
918,聲,セイ
919,征,セイ
920,輕,ケイ
921,名,メイ
922,跉,レイ
923,并,ヘイ
924,傾,ケイ
925,𩛿,
926,縈,エイ
927,瓊,ケイ
928,騂,セイ
929,頸,ケイ
930,𧵣,ケイ
931,靑,セイ
932,經,ケイ
933,㓝,ケイ
934,庭,テイ
935,丁,テイ
936,馨,ケイ
937,星,セイ
938,竮,
939,靈,レイ
940,寧,ネイ
941,汀,テイ
942,冥,メイ
943,瓶,ヘイ
944,熒,ケイ
945,扃,ケイ
946,蒸,ショウ
947,承,ショウ
948,澂,チョウ
949,陵,リョウ
950,膺,ヨウ
951,凭,ヒョウ
952,冫,ヒョウ
953,蠅,ヨウ
954,繩,ショウ
955,升,ショウ
956,仍,ジョウ
957,兢,キョウ
958,徵,チョウ
959,繒,ショウ
960,凝,ギョウ
961,興,キョウ
962,稱,ショウ
963,殑,
964,㱡,
965,硱,
966,僜,
967,磳,
968,砯,
969,登,トウ
970,楞,ロウ
971,僧,ソウ
972,崩,ホウ
973,增,ソウ
974,瞢,ボウ
975,層,ソウ
976,朋,ホウ
977,弘,コウ
978,肱,コウ
979,薨,コウ
980,能,ドウ
981,騰,トウ
982,恒,コウ
983,搄,コウ
984,鼟,
985,漰,
986,尤,イウ
987,憂,イウ
988,劉,リウ
989,秋,シウ
990,猷,イウ
991,牛,ギウ
992,遒,シウ
993,酋,シウ
994,脩,シウ
995,抽,チウ
996,恘,キウ
997,犫,シウ
998,周,シウ
999,讎,シウ
1000,柔,ジウ
1001,收,シウ
1002,丘,キウ
1003,䬌,フウ
1004,鳩,キウ
1005,不,フウ
1006,𢯱,
1007,搊,シウ
1008,鄒,スウ
1009,愁,シウ
1010,休,キウ
1011,囚,シウ
1012,儔,チウ
1013,輈,チウ
1014,𧚍,キウ
1015,浮,ホウ
1016,謀,ボウ
1017,侯,コウ
1018,謳,オウ
1019,羺,
1020,樓,ロウ
1021,涑,ソウ
1022,彄,コウ
1023,齁,コウ
1024,𣠏,ソウ
1025,偷,トウ
1026,頭,トウ
1027,齵,ゴウ
1028,鉤,コウ
1029,兠,トウ
1030,㔌,
1031,裒,ホウ
1032,䜅,ソウ
1033,呣,ボウ
1034,幽,イウ
1035,虯,キウ
1036,彪,ヒウ
1037,鏐,リウ
1038,樛,キウ
1039,淲,
1040,稵,
1041,犙,
1042,聱,
1043,飍,
1044,繆,ビウ
1045,侵,シム
1046,尋,シム
1047,林,リム
1048,琛,チム
1049,斟,
1050,沈,チム
1051,碪,チム
1052,諶,シム
1053,任,ジム
1054,深,シム
1055,淫,イム
1056,心,シム
1057,愔,
1058,祲,シム
1059,𩷒,シム
1060,䛘,ヂム
1061,琴,キム
1062,欽,キム
1063,吟,ギム
1064,歆,キム
1065,金,キム
1066,音,イム
1067,森,シム
1068,岑,シム
1069,旡,シム
1070,嵾,シム
1071,𧡪,シム
1072,覃,タム
1073,參,サム
1074,南,ダム
1075,諳,アム
1076,含,カム
1077,婪,ラム
1078,蠶,サム
1079,簪,サム
1080,探,タム
1081,耽,タム
1082,龕,カム
1083,㟏,
1084,毿,サム
1085,弇,カム
1086,䜙,ガム
1087,談,タム
1088,甘,カム
1089,擔,タム
1090,三,サム
1091,藍,ラム
1092,坩,カム
1093,舑,
1094,慙,サム
1095,酣,かむ
1096,姏,
1097,𩈻,サム
1098,蚶,カム
1099,鹽,エム
1100,廉,レム
1101,砭,ヘム
1102,銛,セム
1103,籤,セム
1104,詹,セム
1105,棎,セム
1106,苫,セム
1107,䪜,
1108,𩓾,ゼム
1109,黏,デム
1110,炎,エム
1111,霑,テム
1112,覘,テム
1113,淹,エム
1114,𢜩,
1115,𪙊,ゲム
1116,尖,セム
1117,潛,セム
1118,箝,ケム
1119,懕,エム
1120,燅,
1121,襳,
1122,㶣,
1123,鍼,シム
1124,添,テム
1125,𩬑,テム
1126,甜,テム
1127,鬑,
1128,謙,ケム
1129,兼,ケム
1130,嫌,ケム
1131,鮎,デム
1132,馦,
1133,咸,カム
1134,緘,カム
1135,攕,
1136,𤟟,
1137,嵒,
1138,㰹,カム
1139,詀,
1140,諵,ダム
1141,讒,サム
1142,鵮,
1143,銜,カム
1144,巉,サム
1145,巖,ガム
1146,攙,サム
1147,衫,サム
1148,監,カム
1149,𨂝,
1150,嵌,カム
1151,嚴,ゲム
1152,𩏩,
1153,醃,エム
1154,㪁,ケム
1155,凡,ハム
1156,䒦,ハム
1157,董,トウ
1158,蠓,モウ
1159,孔,コウ
1160,㪌,ソウ
1161,侗,トウ
1162,緫,ソウ
1163,澒,コウ
1164,蓊,ヲウ
1165,𨑊,
1166,琫,ホウ
1167,曨,ロウ
1168,嗊,コウ
1169,動,トウ
1170,菶,ホウ
1171,腫,ショウ
1172,寵,チョウ
1173,隴,リョウ
1174,擁,ヨウ
1175,宂,ジョウ
1176,重,チョウ
1177,冢,チョウ
1178,奉,ホウ
1179,捧,ホウ
1180,勇,ヨウ
1181,恐,キョウ
1182,尰,ヨウ
1183,拱,キョウ
1184,悚,ショウ
1185,洶,キョウ
1186,覂,ホウ
1187,湩,トウ
1188,𪁪,
1189,䅃,キョウ
1190,𨿿,
1191,𢃭,ショウ
1192,䙕,ショウ
1193,講,カウ
1194,㭋,ハウ
1195,慃,アウ
1196,𠈵,バウ
1197,項,カウ
1198,𦂌,ハウ
1199,傋,カウ
1200,紙,シ
1201,是,シ
1202,靡,ビ
1203,彼,ヒ
1204,被,ヒ
1205,毀,クヰ
1206,委,ヰ
1207,跪,クヰ
1208,詭,クヰ
1209,髓,スイ
1210,絫,ルイ
1211,技,キ
1212,倚,イ
1213,掎,キ
1214,綺,キ
1215,螘,ギ
1216,蔿,ヰ
1217,觜,セイ
1218,蘂,ヰ
1219,此,シ
1220,豸,チ
1221,徙,シ
1222,酏,イ
1223,邐,リ
1224,躧,シ
1225,𢔌,ヒ
1226,爾,ジ
1227,渳,ビ
1228,婢,ヒ
1229,侈,シ
1230,弛,シ
1231,紫,シ
1232,捶,スイ
1233,揣,スイ
1234,𤢍,ズイ
1235,舓,シ
1236,㧗,
1237,㱟,ヒ
1238,諀,ヒ
1239,䓈,
1240,惢,
1241,跬,クヰ
1242,狔,
1243,硊,グヰ
1244,跪,クヰ
1245,褫,チ
1246,㨖,チ
1247,𪖪,キ
1248,企,キ
1249,菙,スイ
1250,枳,キ
1251,旨,シ
1252,視,シ
1253,美,ビ
1254,鄙,ヒ
1255,兕,シ
1256,几,キ
1257,𡛷,シ
1258,匕,ヒ
1259,軌,クヰ
1260,洧,ヰ
1261,矢,シ
1262,雉,チ
1263,死,シ
1264,牝,ヒ
1265,履,リ
1266,水,スイ
1267,壘,ルイ
1268,揆,クヰ
1269,趡,スイ
1270,柅,ヂ
1271,癸,クヰ
1272,否,ヒ
1273,㠑,スイ
1274,嚭,ヒ
1275,蕊,ズイ
1276,唯,ヰ
1277,㰻,イ
1278,濢,スイ
1279,黹,チ
1280,𡳭,チ
1281,𧿲,シ
1282,䁤,
1283,䣀,クヰ
1284,跽,キ
1285,巋,クヰ
1286,止,シ
1287,市,シ
1288,徵,チ
1289,喜,キ
1290,紀,キ
1291,以,イ
1292,似,シ
1293,史,シ
1294,耳,ジ
1295,里,リ
1296,枲,シ
1297,始,シ
1298,歭,チ
1299,起,キ
1300,士,シ
1301,俟,シ
1302,子,シ
1303,矣,イ
1304,擬,ギ
1305,齒,シ
1306,恥,チ
1307,𠟴,シ
1308,滓,シ
1309,譩,イ
1310,伱,
1311,尾,ビ
1312,扆,イ
1313,豈,キ
1314,蟣,キ
1315,斐,ヒ
1316,匪,ヒ
1317,韙,ヰ
1318,鬼,クヰ
1319,虺,クヰ
1320,顗,ギ
1321,豨,キ
1322,磈,ヰ
1323,膹,ヒ
1324,語,ギョ
1325,吕,リョ
1326,佇,チョ
1327,與,ヨ
1328,䰞,ショ
1329,汝,ジョ
1330,暑,ショ
1331,杵,ショ
1332,貯,チョ
1333,諝,ショ
1334,楮,チョ
1335,女,ヂョ
1336,許,キョ
1337,巨,キョ
1338,所,ショ
1339,楚,ショ
1340,阻,ショ
1341,齟,ショ
1342,咀,ショ
1343,𢮁,ヨ
1344,舉,キョ
1345,敘,ショ
1346,去,キョ
1347,紓,ショ
1348,野,ショ
1349,𥅗,ショ
1350,苴,ショ
1351,麌,グ
1352,羽,ウ
1353,聚,シュ
1354,甫,フ
1355,武,ブ
1356,父,フ
1357,撫,フ
1358,柱,チュ
1359,詡,ク
1360,豎,シュ
1361,庾,ユ
1362,主,シュ
1363,傴,ウ
1364,齲,ク
1365,拄,チュ
1366,乳,ジュ
1367,窶,ク
1368,數,ス
1369,矩,ク
1370,取,シュ
1371,縷,ル
1372,𦄼,シュ
1373,䝒,
1374,姥,ボ
1375,土,ト
1376,杜,ト
1377,魯,ロ
1378,蔖,ソ
1379,覩,ト
1380,古,コ
1381,五,ゴ
1382,簿,ホ
1383,粗,ソ
1384,祖,ソ
1385,虎,コ
1386,隖,ヲ
1387,苦,コ
1388,怒,ド
1389,戸,コ
1390,普,ホ
1391,補,ホ
1392,薺,セイ
1393,禮,レイ
1394,體,テイ
1395,䫌,ヘイ
1396,濟,セイ
1397,邸,テイ
1398,弟,テイ
1399,禰,デイ
1400,洗,セイ
1401,泚,セイ
1402,啓,ケイ
1403,徯,ケイ
1404,米,ベイ
1405,陛,ヘイ
1406,𠯋,エイ
1407,堄,ゲイ
1408,㪏,ヘイ
1409,蟹,カイ
1410,買,バイ
1411,䒓,
1412,廌,
1413,嬭,ダイ
1414,罷,ハイ
1415,矮,アイ
1416,擺,ハイ
1417,解,カイ
1418,灑,サイ
1419,𠁥,クヮイ
1420,㧳,
1421,夥,クヮ
1422,扮,
1423,箉,
1424,駭,カイ
1425,楷,カイ
1426,騃,ガイ
1427,挨,アイ
1428,賄,クヮイ
1429,猥,ワイ
1430,磥,ライ
1431,錞,タイ
1432,辠,サイ
1433,浼,バイ
1434,骽,タイ
1435,瘣,クヮイ
1436,䫥,クヮイ
1437,𦞙,タイ
1438,餧,ダイ
1439,𩬳,
1440,頠,グヮイ
1441,皠,サイ
1442,琲,ハイ
1443,嶊,サイ
1444,倄,
1445,海,カイ
1446,愷,カイ
1447,宰,サイ
1448,駘,タイ
1449,乃,ダイ
1450,改,カイ
1451,亥,カイ
1452,啡,ハイ
1453,采,サイ
1454,茝,サイ
1455,等,タイ
1456,䆀,バイ
1457,在,サイ
1458,俖,ハイ
1459,欸,アイ
1460,佁,
1461,㘆,タイ
1462,疓,
1463,𨦂,ライ
1464,䑂,
1465,倍,ハイ
1466,軫,シン
1467,辴,チン
